"Disclaimer: Below is a list of service history records for the date range you had requested. Records prior to 2019 are not currentlysupported, but can be obtained by emailing privacy@tesla.com. Recent service visits can take up to 7 days to populate. Additionally, to protect the privacy of each customer, only service records from your period of ownership is made available."
""
""
SERVICE VISIT DATE (UTC),MODEL,VIN,SERVICE CENTER,SERVICE LOCATION,CITY,STATE/PROVINCE,POSTAL CODE,COUNTRY
October 28 2020,MODEL 3,5YXXXXXXXXXXXXXXX,Sydney-Alexandria-Bourke Road,118 Bourke Road,Alexandria,NSW,2015,AU
November 17 2020,MODEL 3,5YXXXXXXXXXXXXXXX,Sydney-Alexandria-Bourke Road,118 Bourke Road,Alexandria,NSW,2015,AU
November 17 2020,MODEL 3,5YXXXXXXXXXXXXXXX,Mobile Service Sydney - Alexandria,118 Bourke Rd,Alexandria,NSW,2015,AU
November 18 2020,MODEL 3,5YXXXXXXXXXXXXXXX,Mobile Service Sydney - Alexandria,118 Bourke Rd,Alexandria,NSW,2015,AU
November 19 2020,MODEL 3,5YXXXXXXXXXXXXXXX,Sydney-Alexandria-Bourke Road,118 Bourke Road,Alexandria,NSW,2015,AU
November 21 2020,MODEL 3,5YXXXXXXXXXXXXXXX,Sydney-Alexandria-Bourke Road,118 Bourke Road,Alexandria,NSW,2015,AU
November 30 2020,MODEL 3,5YXXXXXXXXXXXXXXX,Sydney-Alexandria-Bourke Road,118 Bourke Road,Alexandria,NSW,2015,AU
January 10 2021,MODEL 3,5YXXXXXXXXXXXXXXX,Sydney-Alexandria-Bourke Road,118 Bourke Road,Alexandria,NSW,2015,AU
February 13 2021,MODEL 3,5YXXXXXXXXXXXXXXX,Mobile Service Sydney - Alexandria,118 Bourke Rd,Alexandria,NSW,2015,AU
March 20 2021,MODEL 3,5YXXXXXXXXXXXXXXX,Sydney-Alexandria-Bourke Road,118 Bourke Road,Alexandria,NSW,2015,AU
April 26 2021,MODEL 3,5YXXXXXXXXXXXXXXX,Sydney-Alexandria-Bourke Road,118 Bourke Road,Alexandria,NSW,2015,AU
October 20 2021,MODEL 3,5YXXXXXXXXXXXXXXX,Mobile Service Sydney - Alexandria,118 Bourke Rd,Alexandria,NSW,2015,AU
October 26 2021,MODEL 3,5YXXXXXXXXXXXXXXX,Mobile Service Sydney - Alexandria,118 Bourke Rd,Alexandria,NSW,2015,AU
October 28 2021,MODEL 3,5YXXXXXXXXXXXXXXX,Sydney-Alexandria-Bourke Road,118 Bourke Road,Alexandria,NSW,2015,AU
December 09 2021,MODEL 3,5YXXXXXXXXXXXXXXX,Mobile Service Sydney - Alexandria,118 Bourke Rd,Alexandria,NSW,2015,AU
January 14 2022,MODEL 3,5YXXXXXXXXXXXXXXX,Sydney-Alexandria-Bourke Road,118 Bourke Road,Alexandria,NSW,2015,AU
January 29 2022,MODEL 3,5YXXXXXXXXXXXXXXX,Sydney-Alexandria-Bourke Road,118 Bourke Road,Alexandria,NSW,2015,AU
