VIN,DATE (UTC),Charge Handle Communication Signal,Charge Cable Connected,Charge Cable Secured,Charge Port Door Button Pressed,UI Setting - PIN to Drive,PIN Tto Drive accepted,Requested Charge Current (Amps),UI Setting - Automatic Emergency Braking,UI Setting - Automatic High Beam,UI Setting - Vehicle Alarm,UI Setting - Automatic Mirror Fold/Unfold,UI Setting - Automatic High/Low Beams Enabled,UI Setting - Automatic Lane Change,Request Automatic Parking,UI Request - Enable Charging,UI Setting - Door Child Locking,UI Request - close Charge Port Door,UI Setting - Navigate on Autopilot,UI Request - Factory Reset,UI Setting - Forward Collision Warning,UI Setting - Forward Collision Warning Sensitivity,UI Request - Follow Navigate on Autopilot Route,UI Request - Front Trunk Open,UI Setting - Disable Air Conditioning,Air Conditioning - Air Distribution Mode,Air Conditioning - Cabin Blower Setting,Air Conditioning - Cabin Defog Mode,Air Conditioning - Cabin Air Recirculation Mode,Air Conditioning - Rear Cabin Blower Setting,Seating - Left Front Temperature,Seating - Right Front Temperature,Air Conditioning - State,UI Setting - Autosteer,UI Setting - Lane Departure Warning,UI Setting - Headlamps,UI Request - Vehicle Lock/Unlock,UI Setting - Mirror Fold ,Navigation Route Active,Navigating to Supercharger,Odometer (Kilometers),UI Request - Open Charger Port Door,UI Request - Park Brake,UI Setting - Acceleration Mode,Mobile App - Remote Closure Request,Mobile App - Remote Start Request,UI Setting - Headlamps After Exit,Auto Summon Status,UI Setting - Steering Mode,UI Setting - Stopping Mode ,Summon State,UI Request - Track Mode,UI Request - Trunk Open/Close,UI Setting - Lane Change Mode,UI Setting - Unlock On Park,"Air Conditioning - Left Side, Split/Focus","Air Conditioning - Left Side, Split Percentage","Air Conditioning - Left Side, Vertical Position","Air Conditioning - Left Side, Horizontal Position","Air Conditioning - Right Side, Split/Focus","Air Conditioning - Right Side, Split Percentage","Air Conditioning - Right Side, Vertical Position","Air Conditioning - Right Side, Horizontal Position",UI Setting - Walk Away Door Locking,UI Setting - Winch Mode,UI Request - Wiper Mode,Wiper Speed,Daytime Running Light Status - Left,Daytime Running Light Status - Right,Steering Column Profile Recall,Front Left Seatbelt Buckle Status,Front Left Seat - Backrest Position,Switch Request - Front Left Seat Backrest Back,Switch Request - Front Left Seat Backrest Forward,Switch Request - Front Left Seat Lift Down,Front Left Seat - Lift Position,Switch Request - Front Left Seat Switch Lift Up,Switch Request - Front Left Seat Switch Lumbar Down,Switch Request - Front Left Seat Switch Lumbar In,Switch Request - Front Left Seat Switch Lumbar Out,Switch Request - Front Left Seat Switch Lumbar Up,Switch Request - Front Left Seat Switch Tilt Down,Front Left Seat - Tilt Position,Switch Request - Front Left Seat Switch Tilt Up,Switch Request - Front Left Seat Track Back,Switch Request - Front Left Seat Track Forward,Front Left Seat - Track Position,"Seat Occupancy Status - Rear, Centre","Seatbelt Buckle Status - Left Side, Rear","Seat Occupancy Status - Left Side, Rear","Seat Occupancy Status - Right Side, Rear","Seat Profile Recall - Left Side, Front","Seatbelt Buckle Status - Right Side, Front",Front Right Seat - Backrest Position,Switch Request - Front Right Seat Backrest Back,Switch Request - Front Right Seat Backrest Forward,Switch Request - Front Right Seat Lift Down,Front Right Seat - Lift Position,Switch Request - Front Right Seat Switch Lift Up,Switch Request - Front Right Seat Switch Lumbar Down,Switch Request - Front Right Seat Switch Lumbar In,Switch Request - Front Right Seat Switch Lumbar Out,Switch Request - Front Right Seat Switch Lumbar Up,Switch Request - Front Right Seat Switch Tilt Down,Front Right Seat - Tilt Position,Switch Request - Front Right Seat Switch Tilt Up,Switch Request - Front Right Seat Track Back,Switch Request - Front Right Seat Track Forward,Front Right Seat - Track Position,"Seatbelt Buckle Status - Centre, Rear","Seatbelt Buckle Status - Right, Rear",Seat Profile Recall - Front Right,Multiple NFC Cards Detected at Left Pillar,Multiple NFC Cards Detected at Right Pillar,ID of NFC card at Right Reader,Multiple NFC Cards Detected at Centre Console,ID of NFC card at Centre Console Reader,Mobile App Request - Left Front Window,Mobile App Request - Left Rear Window,Mobile App Request - Right Front Window,Mobile App Request - Right Rear Window,Mobile App Window Request Type
5YXXXXXXXXXXXXXXX, 2021-11-19 08:16:01.489,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.00,0.00,0.00,0.00,"WINDOW_REQUEST_IDLE, 0.0"
5YXXXXXXXXXXXXXXX, 2021-11-19 08:16:01.514,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"SWITCH_FAULT, 3.0","SWITCH_FAULT, 3.0","SWITCH_FAULT, 3.0",,"SWITCH_FAULT, 3.0","SWITCH_FAULT, 3.0","SWITCH_FAULT, 3.0","SWITCH_FAULT, 3.0","SWITCH_FAULT, 3.0","SWITCH_FAULT, 3.0",,"SWITCH_FAULT, 3.0","SWITCH_FAULT, 3.0","SWITCH_FAULT, 3.0",,,,,,,,,,,,,,
5YXXXXXXXXXXXXXXX, 2021-11-19 08:16:01.535,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.00,,,,,,,
5YXXXXXXXXXXXXXXX, 2021-11-19 08:16:01.595,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"SWITCH_SNA, 0.0",,"SWITCH_OFF, 1.0","SWITCH_OFF, 1.0","SWITCH_OFF, 1.0",,"SWITCH_OFF, 1.0","SWITCH_OFF, 1.0","SWITCH_OFF, 1.0","SWITCH_OFF, 1.0","SWITCH_OFF, 1.0","SWITCH_OFF, 1.0",,"SWITCH_OFF, 1.0","SWITCH_OFF, 1.0","SWITCH_OFF, 1.0",,"SWITCH_SNA, 0.0","SWITCH_SNA, 0.0","SWITCH_SNA, 0.0","SWITCH_SNA, 0.0",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5YXXXXXXXXXXXXXXX, 2021-11-19 08:16:01.614,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LIGHT_OFF, 0.0","LIGHT_OFF, 0.0",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5YXXXXXXXXXXXXXXX, 2021-11-19 08:16:01.635,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.00,,,,,
5YXXXXXXXXXXXXXXX, 2021-11-19 08:16:01.649,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.00,,,,,,,,,
5YXXXXXXXXXXXXXXX, 2021-11-19 08:16:01.785,0.00,"CABLE_NOT_PRESENT, 0.0",0.00,0.00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5YXXXXXXXXXXXXXXX, 2021-11-19 08:16:01.814,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"SWITCH_OFF, 1.0",,,,,,,,,,,,,,,,,"SWITCH_OFF, 1.0","SWITCH_OFF, 1.0",,,,,,,,,,,
5YXXXXXXXXXXXXXXX, 2021-11-19 08:16:01.894,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"SWITCH_OFF, 1.0",,,,,,,,,,,,,,,,,"SWITCH_OFF, 1.0","SWITCH_OFF, 1.0","SWITCH_OFF, 1.0","SWITCH_OFF, 1.0",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
