VIN,DATE (UTC),Charge Handle Communication Signal,Charge Cable Connected,Charge Cable Secured,Combined Charge System Charge Cable Button Pressed,Daytime Running Light Status - Left,Daytime Running Light Status - Right,Turn indicators Left On/Off,Turn indicators Right On/Off,Bluetooth Device 0 Status,Identity of the Active Key Device,Vehicle Alarm Status,Vehicle Authentication Status,Charge Port Door Lock Status,Lock Request Type
5YXXXXXXXXXXXXXXX, 2022-01-21 11:21:32.985,,,,,,,,,,123456879.00,,,,
5YXXXXXXXXXXXXXXX, 2022-01-21 11:21:40.785,,,,,,,,,,123456879.00,,,,
5YXXXXXXXXXXXXXXX, 2022-01-21 11:21:41.985,,,,,,,,,,123456879.00,,,,
5YXXXXXXXXXXXXXXX, 2022-01-21 11:21:44.384,,,,,,,,,,123456879.00,,,,
5YXXXXXXXXXXXXXXX, 2022-01-21 11:21:44.984,,,,,,,,,,123456879.00,,,,
5YXXXXXXXXXXXXXXX, 2022-01-21 11:21:46.966,,,,,,,,,3.00,,,,,
5YXXXXXXXXXXXXXXX, 2022-01-21 11:21:47.196,,,,,,,,,,,"ALARM_STATUS_DISARMED, 0.0","AUTHENTICATION_AUTHENTICATED_FOR_DRIVE, 2.0",,
5YXXXXXXXXXXXXXXX, 2022-01-21 11:21:48.166,,,,,,,,,0.00,,,,,
5YXXXXXXXXXXXXXXX, 2022-01-21 11:21:49.366,,,,,,,,,3.00,,,,,
5YXXXXXXXXXXXXXXX, 2022-01-21 11:21:49.665,,,,,,,,,,,,,,"LOCK_REQUEST_PASSIVE_BLE_EXTERIOR_HANDLE_UNLOCK, 7.0"
5YXXXXXXXXXXXXXXX, 2022-01-21 11:21:49.677,,,,,"LIGHT_ON, 1.0","LIGHT_ON, 1.0",,,,,,,,
5YXXXXXXXXXXXXXXX, 2022-01-21 11:21:49.996,,,,,,,,,,,,,,"LOCK_REQUEST_NONE, 0.0"
5YXXXXXXXXXXXXXXX, 2022-01-21 11:21:52.184,,,,,,,,,,123456879.00,,,,
5YXXXXXXXXXXXXXXX, 2022-01-21 11:21:52.932,1.00,,,,,,,,,,,,,
5YXXXXXXXXXXXXXXX, 2022-01-21 11:21:52.975,,,,1.00,,,,,,,,,,
5YXXXXXXXXXXXXXXX, 2022-01-21 11:21:53.056,,,,,,,,,,,,,"CLOSURE_UNLOCKED, 0.0","LOCK_REQUEST_PASSIVE_BLE_EXTERIOR_CHARGEHANDLEBUTTON_UNLOCK, 6.0"
5YXXXXXXXXXXXXXXX, 2022-01-21 11:21:53.099,,,,,,,,"LIGHT_ON, 1.0",,,,,,
5YXXXXXXXXXXXXXXX, 2022-01-21 11:21:53.153,,,,,,,"LIGHT_ON, 1.0",,,,,,,
5YXXXXXXXXXXXXXXX, 2022-01-21 11:21:53.335,,,0.00,,,,,,,,,,,
5YXXXXXXXXXXXXXXX, 2022-01-21 11:21:53.399,,,,,,,,"LIGHT_OFF, 0.0",,,,,,
5YXXXXXXXXXXXXXXX, 2022-01-21 11:21:53.433,,"CABLE_NOT_PRESENT, 0.0",,,,,,,,,,,,
5YXXXXXXXXXXXXXXX, 2022-01-21 11:21:53.453,,,,,,,"LIGHT_OFF, 0.0",,,,,,,
5YXXXXXXXXXXXXXXX, 2022-01-21 11:21:53.696,,,,,,,,,,,,,,"LOCK_REQUEST_NONE, 0.0"
5YXXXXXXXXXXXXXXX, 2022-01-21 11:21:53.699,,,,,,,,"LIGHT_ON, 1.0",,,,,,
5YXXXXXXXXXXXXXXX, 2022-01-21 11:21:53.753,,,,,,,"LIGHT_ON, 1.0",,,,,,,
5YXXXXXXXXXXXXXXX, 2022-01-21 11:21:53.954,,,,,,,"LIGHT_OFF, 0.0",,,,,,,
5YXXXXXXXXXXXXXXX, 2022-01-21 11:21:53.999,,,,,,,,"LIGHT_OFF, 0.0",,,,,,
5YXXXXXXXXXXXXXXX, 2022-01-21 11:21:55.433,0.00,,,,,,,,,,,,,
